,rout,GAMMA,T_SPIN_COHERENCE,L,best_solutions_fitness,best_solution
215,<class 'key_rate_optimization.rgs_f_routine'>,628318530717.9586,100.0,3000000.0,8141.483080172744,[29 8 36 858.188701153945]
259,<class 'key_rate_optimization.rgs_f_routine'>,6283185307179.586,100.0,3000000.0,57840.43109191581,[29 8 38 789.8676256937266]
303,<class 'key_rate_optimization.rgs_f_routine'>,62831853071795.86,100.0,3000000.0,99855.02218743291,[29 8 38 783.09915243771]
347,<class 'key_rate_optimization.rgs_f_routine'>,628318530717958.6,100.0,3000000.0,107386.79028856364,[29 8 38 782.424691525492]
391,<class 'key_rate_optimization.rgs_f_routine'>,6283185307179586.0,100.0,3000000.0,108200.09256677028,[29 8 38 782.3573184644468]
43,<class 'key_rate_optimization.rgs_f_routine'>,62831853.071795866,1000.0,3000000.0,0.0,
87,<class 'key_rate_optimization.rgs_f_routine'>,628318530.7179586,1000.0,3000000.0,0.0,
131,<class 'key_rate_optimization.rgs_f_routine'>,6283185307.179586,1000.0,3000000.0,5.523928990296687e-90,[29 1 2 69.06362688228072]
175,<class 'key_rate_optimization.rgs_f_routine'>,62831853071.79586,1000.0,3000000.0,0.0003681968836393,[29 7 18 915.8291790918832]
219,<class 'key_rate_optimization.rgs_f_routine'>,628318530717.9586,1000.0,3000000.0,6875.001346910614,[27 7 34 799.2605832433169]
263,<class 'key_rate_optimization.rgs_f_routine'>,6283185307179.586,1000.0,3000000.0,57840.43200678578,[29 8 38 789.867810502114]
307,<class 'key_rate_optimization.rgs_f_routine'>,62831853071795.86,1000.0,3000000.0,99855.0231303518,[29 8 38 783.0977691506142]
351,<class 'key_rate_optimization.rgs_f_routine'>,628318530717958.6,1000.0,3000000.0,107386.7912167167,[29 8 38 782.4259432240359]
395,<class 'key_rate_optimization.rgs_f_routine'>,6283185307179586.0,1000.0,3000000.0,108200.09350229094,[29 8 38 782.3556836285184]
0,<class 'key_rate_optimization.tgs_a_routine'>,62831853.071795866,1e-07,3000000.0,0.0,
44,<class 'key_rate_optimization.tgs_a_routine'>,628318530.7179586,1e-07,3000000.0,0.0,
88,<class 'key_rate_optimization.tgs_a_routine'>,6283185307.179586,1e-07,3000000.0,0.0,
132,<class 'key_rate_optimization.tgs_a_routine'>,62831853071.79586,1e-07,3000000.0,0.0,
176,<class 'key_rate_optimization.tgs_a_routine'>,628318530717.9586,1e-07,3000000.0,0.0,
220,<class 'key_rate_optimization.tgs_a_routine'>,6283185307179.586,1e-07,3000000.0,0.0,
264,<class 'key_rate_optimization.tgs_a_routine'>,62831853071795.86,1e-07,3000000.0,0.0,
308,<class 'key_rate_optimization.tgs_a_routine'>,628318530717958.6,1e-07,3000000.0,0.0,
352,<class 'key_rate_optimization.tgs_a_routine'>,6283185307179586.0,1e-07,3000000.0,0.0,
4,<class 'key_rate_optimization.tgs_a_routine'>,62831853.071795866,1e-06,3000000.0,0.0,
48,<class 'key_rate_optimization.tgs_a_routine'>,628318530.7179586,1e-06,3000000.0,0.0,
92,<class 'key_rate_optimization.tgs_a_routine'>,6283185307.179586,1e-06,3000000.0,0.0,
136,<class 'key_rate_optimization.tgs_a_routine'>,62831853071.79586,1e-06,3000000.0,0.0,
180,<class 'key_rate_optimization.tgs_a_routine'>,628318530717.9586,1e-06,3000000.0,0.0,
224,<class 'key_rate_optimization.tgs_a_routine'>,6283185307179.586,1e-06,3000000.0,1.0431497666338764e-106,[1 1 26 11.569516610724168]
268,<class 'key_rate_optimization.tgs_a_routine'>,62831853071795.86,1e-06,3000000.0,0.0,
312,<class 'key_rate_optimization.tgs_a_routine'>,628318530717958.6,1e-06,3000000.0,0.0,
356,<class 'key_rate_optimization.tgs_a_routine'>,6283185307179586.0,1e-06,3000000.0,0.0,
8,<class 'key_rate_optimization.tgs_a_routine'>,62831853.071795866,1e-05,3000000.0,0.0,
52,<class 'key_rate_optimization.tgs_a_routine'>,628318530.7179586,1e-05,3000000.0,9.664866966425244e-66,[1 10 29 176.36529557741943]
96,<class 'key_rate_optimization.tgs_a_routine'>,6283185307.179586,1e-05,3000000.0,1.945614819117385e-62,[1 2 29 87.81473908961317]
140,<class 'key_rate_optimization.tgs_a_routine'>,62831853071.79586,1e-05,3000000.0,3.6524396495729598e-62,[1 1 29 80.80792473654127]
184,<class 'key_rate_optimization.tgs_a_routine'>,628318530717.9586,1e-05,3000000.0,3.859143748313203e-62,[1 1 29 80.80871687981697]
228,<class 'key_rate_optimization.tgs_a_routine'>,6283185307179.586,1e-05,3000000.0,3.880746362489272e-62,[1 1 29 80.80878453594525]
