rout,GAMMA,T_SPIN_COHERENCE,L,eta_d,p_dc,ep_depol,best_solutions_fitness,best_solution
<class 'key_rate_optimization.tgs_f_routine'>,1068141502.2205297,1.0,1000000.0,1,0,0.00015000000000000001,1.2862852542281705e-17,[1 1 29 25.12662560834619]
<class 'key_rate_optimization.tgs_f_routine'>,1068141502.2205297,1.0,1000000.0,1,0,0.000155,1.2843090082350516e-17,[1 1 29 25.12643928577615]
<class 'key_rate_optimization.tgs_f_routine'>,1068141502.2205297,1.0,1000000.0,1,0,0.00015999999999999999,1.2823428931778497e-17,[1 1 29 25.126253569854182]
<class 'key_rate_optimization.tgs_f_routine'>,1068141502.2205297,1.0,1000000.0,1,0,0.000165,1.2803865975628184e-17,[1 1 29 25.126068474220645]
<class 'key_rate_optimization.tgs_f_routine'>,1068141502.2205297,1.0,1000000.0,1,0,0.00017,1.278439828748239e-17,[1 1 29 25.125883971199915]
<class 'key_rate_optimization.tgs_f_routine'>,1068141502.2205297,1.0,1000000.0,1,0,0.000175,1.2765023112810326e-17,[1 1 29 25.125699993320634]
<class 'key_rate_optimization.tgs_f_routine'>,1068141502.2205297,1.0,1000000.0,1,0,0.00017999999999999998,1.2745737854240596e-17,[1 1 29 25.1255165724103]
<class 'key_rate_optimization.tgs_f_routine'>,1068141502.2205297,1.0,1000000.0,1,0,0.000185,1.272654005847041e-17,[1 1 29 25.125333511382056]
<class 'key_rate_optimization.tgs_f_routine'>,1068141502.2205297,1.0,1000000.0,1,0,0.00019,1.2707427404583038e-17,[1 1 29 25.12515123518692]
<class 'key_rate_optimization.tgs_f_routine'>,1068141502.2205297,1.0,1000000.0,1,0,0.000195,1.2688397693606571e-17,[1 1 29 25.124969312447853]
